date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:53	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:96364a6fe52afbeea445c96a9295449a%22	https://pedealgodao.com.br/pages/contatohttps://pedealgodao.com.br/	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/contatohttps_/pedealgodao.com.br/index.html	(from )
16:08:56	556/556	U--MCZ	200	updated ('OK')	text/plain	etag:W/%22cacheable:213ce275c767cb6a71e03447ee4f17ed%22	https://pedealgodao.com.br/robots.txt		(from )
16:09:03	484641/484641	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:8d6d3468d91260589443fec8f358b73f%22	https://pedealgodao.com.br/pages/dicas-de-conservacao	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/dicas-de-conservacao.html	(from )
16:09:05	497331/497331	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:0cc6b1b3eae56efeefcba5a01f6f6f99%22	https://pedealgodao.com.br/collections/	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/collections/index.html	(from )
16:09:06	481990/481990	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:84535dd73136b13f1d5e34356d985298%22	https://pedealgodao.com.br/pages/rastreio	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/rastreio.html	(from )
16:09:07	484505/484505	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:a6185f63eb7e4c8832711541f28458a3%22	https://pedealgodao.com.br/pages/quem-somos	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/quem-somos.html	(from )
16:09:08	485735/485735	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:b3a354094e5e3cf0d900c55aaea883ff%22	https://pedealgodao.com.br/policies/shipping-policy	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/shipping-policy.html	(from )
16:09:09	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:c49c1800157adea1c6a01cae1bd550d8%22	https://pedealgodao.com.br/gtm.js?id=	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/gtm5445.js	(from https://pedealgodao.com.br/collections/)
16:09:10	486797/486797	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:09c3673c99b5a96f5557385f59565463%22	https://pedealgodao.com.br/policies/privacy-policy	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/privacy-policy.html	(from )
16:09:11	487368/487368	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:458b2fb043f551e4ee2b4588938e3e2e%22	https://pedealgodao.com.br/policies/refund-policy	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/refund-policy.html	(from )
16:09:11	51632/51632	U-----	200	untouched ('')	application/javascript	etag:%228063974e2c78db1:0%22	http://bat.bing.com/bat.js	C:/Meus%20Sites/PEDEALGODAO/bat.bing.com/bat.js	(from https://pedealgodao.com.br/collections/)
16:09:13	490869/490869	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cacheable:86ea6911d77b4ecdf79d668881ba50a8%22	https://pedealgodao.com.br/policies/terms-of-service	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/terms-of-service.html	(from )
16:09:15	497325/497325	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:8f3e35471de5de279b05d36ed82d1892%22	https://pedealgodao.com.br/products/	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/products/index.html	(from )
16:09:15	10131/10131	U-----	200	untouched ('')	application/javascript	etag:%22C5DC8475F5AE240BD1474B4467D9E7D8%22	https://s1.kwai.net/kos/s101/nlav11187/pixel/events.js	C:/Meus%20Sites/PEDEALGODAO/s1.kwai.net/kos/s101/nlav11187/pixel/events.js	(from https://pedealgodao.com.br/collections/)
16:09:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2019:09:15%20GMT	http://pedealgodao.com.br/cdn/shop/files/Favicon_96x96.png?v=1710330394	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/cdn/shop/files/Favicon_96x96.b3ac4.delayed	(from https://pedealgodao.com.br/collections/)
16:09:17	603354/603354	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:6cf4e41c7e5f860f673e2a97b95ccb23%22	https://pedealgodao.com.br/	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/index.html	(from )
16:09:17	10131/10131	U-----	200	untouched ('')	application/javascript	etag:%22C5DC8475F5AE240BD1474B4467D9E7D8%22	https://s16-11187.ap4r.com/kos/s101/nlav11187/pixel/events.js	C:/Meus%20Sites/PEDEALGODAO/s16-11187.ap4r.com/kos/s101/nlav11187/pixel/events.js	(from https://pedealgodao.com.br/collections/)
16:09:17	6939/6939	U-----	200	untouched ('')	image/png	date:Fri,%2003%20May%202024%2017:17:15%20GMT	https://pedealgodao.com.br/cdn/shop/files/Favicon_96x96.png?v=1710330394	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/cdn/shop/files/Favicon_96x963ac4.png	(from https://pedealgodao.com.br/collections/)
16:09:19	497331/497331	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:0cc6b1b3eae56efeefcba5a01f6f6f99%22	https://pedealgodao.com.br/collections	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/collections.html	(from https://pedealgodao.com.br/collections/)
16:09:19	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2019:09:19%20GMT	http://pedealgodao.com.br/cdn/shop/t/45/assets/theme.min.css?v=131803980360899419871727356583	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/cdn/shop/t/45/assets/theme.min.e4c34.delayed	(from https://pedealgodao.com.br/collections/)
