date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:01	9/9	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%22cacheable:21d5732c04a47ad587c61f586a54419b%22	https://pedealgodao.com.br/pages/contatohttps://pedealgodao.com.br/	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/contatohttps_/pedealgodao.com.br/index.html	(from )
15:59:03	482356/482356	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:95d367b905a686158d5faf125ee21289%22	https://pedealgodao.com.br/pages/rastreio	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/rastreio.html	(from )
15:59:04	497333/497333	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:92ed87c4602acfb73adb5677df55c3cd%22	https://pedealgodao.com.br/collections/	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/collections/index.html	(from )
15:59:06	484643/484643	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:4582a7ee26963791ec16f10b4c759430%22	https://pedealgodao.com.br/pages/dicas-de-conservacao	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/dicas-de-conservacao.html	(from )
15:59:07	484507/484507	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:50134d43b2f259d27db941e2e572ffd1%22	https://pedealgodao.com.br/pages/quem-somos	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/pages/quem-somos.html	(from )
15:59:08	485737/485737	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:f798b0cff92af9999e24189236357f3c%22	https://pedealgodao.com.br/policies/shipping-policy	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/shipping-policy.html	(from )
15:59:09	487370/487370	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:3a9a6c225215aad00f8321667b3ce8ca%22	https://pedealgodao.com.br/policies/refund-policy	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/refund-policy.html	(from )
15:59:10	486799/486799	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:836c80740766c8a546f18ca84a5a7e81%22	https://pedealgodao.com.br/policies/privacy-policy	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/privacy-policy.html	(from )
15:59:10	556/556	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:b93174ad35a50fd73cbf1031a1e23a68%22	https://pedealgodao.com.br/robots.txt		(from )
15:59:11	490871/490871	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:cdfd54168fc8fb686a08754d89a477d4%22	https://pedealgodao.com.br/policies/terms-of-service	C:/Meus%20Sites/PEDEALGODAO/pedealgodao.com.br/policies/terms-of-service.html	(from )
